1::Benadryl 1::Cold|Cough
201::Methylin ER 1::Depression
202::methylphenidate 1::Depression
203::Nardil 1::Depression
204::nefazodone 1::Depression
205::Pamelor 1::Depression
206::Parnate 1::Depression
207::Pexeva 1::Depression
208::Prozac Weekly 1::Depression
209::Rapiflux 1::Depression
210::Remeron SolTab 1::Depression
211::Sinequan 1::Depression
212::Abilify Discmelt 1::Depression
213::amitriptyline / chlordiazepoxide 1::Depression
214::amoxapine 1::Depression
215::Anafranil 1::Depression
216::Ambien 1::Insomnia
217::trazodoneOFF LABEL 1::Insomnia
218::zolpidem 1::Insomnia
219::Lunesta 1::Insomnia
220::Ativan 1::Insomnia
221::Dalmane 1::Insomnia
222::Restoril 1::Insomnia
223::Ambien CR 1::Insomnia
224::temazepam 1::Insomnia
225::Zyprexa ZydisOFF LABEL 1::Insomnia
226::Prosom 1::Insomnia
227::amitriptyline 1::Insomnia
228::Halcion 1::Insomnia
229::Rozerem 1::Insomnia
230::Advil PM 1::Insomnia
231::Belsomra 1::Insomnia
232::lorazepam 1::Insomnia
233::clonazepamOFF LABEL 1::Insomnia
234::Silenor 1::Insomnia
235::Sonata 1::Insomnia
236::Intermezzo 1::Insomnia
237::Unisom SleepTabs 1::Insomnia
238::ZyprexaOFF LABEL 1::Insomnia
239::Tylenol PM 1::Insomnia
240::diphenhydramine 1::Insomnia
241::doxepin 1::Insomnia
242::gabapentinOFF LABEL 1::Insomnia
243::eszopiclone 1::Insomnia
244::mirtazapineOFF LABEL 1::Insomnia
245::doxylamine 1::Insomnia
246::flurazepam 1::Insomnia
247::Seconal 1::Insomnia
248::triazolam 1::Insomnia
249::quetiapineOFF LABEL 1::Insomnia
250::diphenhydramine / ibuprofen 1::Insomnia
251::estazolam 1::Insomnia
252::olanzapineOFF LABEL 1::Insomnia
253::Seconal Sodium 1::Insomnia
254::zaleplon 1::Insomnia
255::Doral 1::Insomnia
256::Edluar 1::Insomnia
257::secobarbital 1::Insomnia
258::Zolpimist 1::Insomnia
259::acetaminophen / diphenhydramine 1::Insomnia
260::chloral hydrate 1::Insomnia
261::Compoz Nighttime Sleep Aid 1::Insomnia
262::Nytol 1::Insomnia
263::oxazepamOFF LABEL 1::Insomnia
264::quazepam 1::Insomnia
265::ramelteon 1::Insomnia
266::Simply Sleep 1::Insomnia
267::Sominex 1::Insomnia
268::Unisom SleepGels 1::Insomnia
269::Unisom SleepMelts 1::Insomnia
270::butabarbitalOFF LABEL 1::Insomnia
271::Nytol QuickCaps 1::Insomnia
272::pentobarbitalOFF LABEL 1::Insomnia
273::phenobarbitalOFF LABEL 1::Insomnia
274::Sleepinal 1::Insomnia
275::suvorexant 1::Insomnia
276::Tranquil Nighttime Sleep Aid 1::Insomnia
277::Twilite 1::Insomnia
278::Z-Sleep 1::Insomnia
279::ZzzQuil 1::Insomnia
280::Aceta-Gesic 1::Insomnia
281::Aldex AN 1::Insomnia
282::Aldex AN Chewable 1::Insomnia
283::Aleve PM 1::Insomnia
284::amobarbitalOFF LABEL 1::Insomnia
285::Aquachloral Supprettes 1::Insomnia
286::Care One Sleep Aid 1::Insomnia
287::dimenhydrinateOFF LABEL 1::Insomnia
288::diphenhydramine / magnesium salicylate 1::Insomnia
289::diphenhydramine / naproxen 1::Insomnia
290::Doans PM 1::Insomnia
291::Doxytex 1::Insomnia
292::Equaline Sleep Aid 1::Insomnia
293::Equate Sleep Aid 1::Insomnia
294::Excedrin PM 1::Insomnia
295::Headache Relief PM 1::Insomnia
296::Hetlioz 1::Insomnia
297::Ibuprofen PM 1::Insomnia
298::Legatrin PM 1::Insomnia
299::Mapap PM 1::Insomnia
300::Medi-Sleep 1::Insomnia
301::Midol PM 1::Insomnia
302::Motrin PM 1::Insomnia
303::Night Time Pain 1::Insomnia
304::Nighttime Sleepaid 1::Insomnia
305::Pain Relief PM Extra Strength 1::Insomnia
306::Percogesic Extra Strength 1::Insomnia
307::Sleep Aid 1::Insomnia
308::tasimelteon 1::Insomnia
309::Tylenol Sore Throat Nighttime 1::Insomnia
310::Unisom PM Pain 1::Insomnia
311::Benadryl 2::Cold|Cough
312::diphenhydramine 2::Cold
313::chlorpheniramine 2::Cold
314::Tussionex Pennkinetic 2::Cold
315::Acetaminophen 2::Cold
316::chlorpheniramine 2::Cold
317::phenylephrine 2::Cold
318::Tylenol Cold 2::Cold
319::Banophen 2::Cold
320::Chlor­Trimeton 2::Cold
321::Coricidin HBP Maximum Strength Flu 2::Cold
322::TussiCaps 2::Cold
323::Tylenol Cold MultiSymptom 2::Cold
324::Sudafed PE Sinus & Allergy 2::Cold
325::pseudoephedrine /triprolidine 2::Cold
326::Sudafed PE Cold & Cough 2::Cold
327::Vicks Nyquil D Cold and Flu Nighttime Relief 2::Cold
328::Coricidin HBP Cold & Flu 2::Cold
329::Vicks Dayquil Cold & Flu Relief 2::Cold
330::Promethazine DM 2::Cold
331::carboplatin 2::Cancer
332::Adriamycin 2::Cancer
333::Cytoxan 2::Cancer
334::Adrucil 2::Cancer
335::fluorouracil 2::Cancer
336::cyclophosphamide 2::Cancer
337::doxorubicin 2::Cancer
338::etoposide 2::Cancer
339::Paraplatin 2::Cancer
340::Cosmegen 2::Cancer
341::Ethyol 2::Cancer
342::Cytoxan Lyophilized 2::Cancer
343::Leukeran 2::Cancer
344::Vincasar PFS 2::Cancer
345::Oncovin 2::Cancer
346::Toposar 2::Cancer
347::vincristine 2::Cancer
348::Etopophos 2::Cancer
349::Fludara 2::Cancer
350::Neosar 2::Cancer
351::amifostine 2::Cancer
352::chlorambucil 2::Cancer
353::Hycamtin 2::Cancer
354::Ifex 2::Cancer
355::Mustargen 2::Cancer
356::Aricept 2::Alzheimer
357::Namenda 2::Alzheimer
358::donepezil 2::Alzheimer
359::Exelon 2::Alzheimer
360::Aricept ODT 2::Alzheimer
361::memantine 2::Alzheimer
362::Namenda XR 2::Alzheimer
363::Razadyne ER 2::Alzheimer
364::galantamine 2::Alzheimer
365::Razadyne 2::Alzheimer
366::rivastigmine 2::Alzheimer
367::Alpha E 2::Alzheimer
368::vitamin e 2::Alzheimer
369::Hydergine 2::Alzheimer
370::Namzaric 2::Alzheimer
371::Aqua-E 2::Alzheimer
372::Aqua Gem-E 2::Alzheimer
373::Aquasol E 2::Alzheimer
374::Aquavite-E 2::Alzheimer
375::Nutr-E-Sol 2::Alzheimer
376::donepezil / memantine 2::Alzheimer
377::E-400 Clear 2::Alzheimer
378::E-600 2::Alzheimer
379::E-Gems 2::Alzheimer
380::ergoloid mesylates 2::Alzheimer
381::sumatriptan 2::Migraine
382::Imitrex 2::Migraine
383::Maxalt 2::Migraine
384::Relpax 2::Migraine
385::Amerge 2::Migraine
386::Axert 2::Migraine
387::Butalbital Compound 2::Migraine
388::Treximet 2::Migraine
389::Zomig 2::Migraine
390::Maxalt-MLT 2::Migraine
391::Excedrin Migraine 2::Migraine
392::Cambia 2::Migraine
393::Fiorinal 2::Migraine
394::gabapentinOFF LABEL 2::Migraine
395::Frova 2::Migraine
396::rizatriptan 2::Migraine
397::Reglan 2::Migraine
398::cyclobenzaprineOFF LABEL 2::Migraine
399::Excedrin 2::Migraine
400::aspirin / butalbital / caffeine 2::Migraine
401::naratriptan 2::Migraine
402::NorflexOFF LABEL 2::Migraine
403::Botox 2::Migraine
404::MethergineOFF LABEL 2::Migraine
405::Migranal 2::Migraine
406::Cafergot 2::Migraine
407::diclofenac 2::Migraine
408::Imitrex Statdose 2::Migraine
409::almotriptan 2::Migraine
410::zolmitriptan 2::Migraine
411::metoclopramide 2::Migraine
412::naproxen / sumatriptan 2::Migraine
413::acetaminophen / aspirin / caffeine 2::Migraine
414::eletriptan 2::Migraine
415::Imitrex Nasal 2::Migraine
416::Sumavel DosePro 2::Migraine
417::cyproheptadine 2::Migraine
418::dihydroergotamine 2::Migraine
419::frovatriptan 2::Migraine
420::Migergot 2::Migraine
421::orphenadrineOFF LABEL 2::Migraine
422::Zomig-ZMT 2::Migraine
423::acetaminophen / aspirin / caffeine / salicylamide 2::Migraine
424::Alsuma 2::Migraine
425::caffeine / ergotamine 2::Migraine
426::ergotamine 2::Migraine
427::venlafaxineOFF LABEL 2::Migraine
428::AntiflexOFF LABEL 2::Migraine
429::D.H.E. 45 2::Migraine
430::Farbital 2::Migraine
431::NorflexOFF LABEL 2::Migraine
432::onabotulinumtoxinA 2::Migraine
433::Onzetra Xsail 2::Migraine
434::OrfroOFF LABEL 2::Migraine
435::orphenadrineOFF LABEL 2::Migraine
436::OrphenateOFF LABEL 2::Migraine
437::Painaid 2::Migraine
438::Reglan 2::Migraine
439::Relpax 2::Migraine
440::rizatriptan 2::Migraine
441::sumatriptan 2::Migraine
442::Sumavel DosePro 2::Migraine
443::Treximet 2::Migraine
444::Vanquish 2::Migraine
445::venlafaxineOFF LABEL 2::Migraine
446::Zecuity 2::Migraine
447::Zembrace SymTouch 2::Migraine
448::zolmitriptan 2::Migraine
449::Zomig 2::Migraine
450::Zomig-ZMT 2::Migraine
451::Cymbalta 2::Depression
452::Lexapro 2::Depression
453::Zoloft 2::Depression
454::Celexa 2::Depression
455::Prozac 2::Depression
456::Wellbutrin XL 2::Depression
457::citalopram 2::Depression
458::Abilify 2::Depression
459::bupropion 2::Depression
460::Xanax 2::Depression
461::Effexor XR 2::Depression
462::sertraline 2::Depression
463::Wellbutrin 2::Depression
464::fluoxetine 2::Depression
465::Pristiq 2::Depression
466::Effexor 2::Depression
467::Paxil 2::Depression
468::venlafaxine 2::Depression
469::Wellbutrin SR 2::Depression
470::trazodone 2::Depression
471::Remeron 2::Depression
472::Viibryd 2::Depression
473::escitalopram 2::Depression
474::mirtazapine 2::Depression
475::paroxetine 2::Depression
476::Seroquel XR 2::Depression
477::amitriptyline 2::Depression
478::alprazolam 2::Depression
479::Deplin 2::Depression
480::ZyprexaOFF LABEL 2::Depression
481::duloxetine 2::Depression
482::nortriptyline 2::Depression
483::tramadolOFF LABEL 2::Depression
484::Fetzima 2::Depression
485::lamotrigineOFF LABEL 2::Depression
486::Alprazolam Intensol 2::Depression
487::aripiprazole 2::Depression
488::Budeprion SR 2::Depression
489::Budeprion XL 2::Depression
490::Desyrel 2::Depression
491::Niravam 2::Depression
492::Oleptro 2::Depression
493::quetiapine 2::Depression
494::Serzone 2::Depression
495::Xanax XR 2::Depression
496::Aplenzin 2::Depression
497::Desyrel Dividose 2::Depression
498::doxepin 2::Depression
499::Forfivo XL 2::Depression
500::lithiumOFF LABEL 2::Depression
501::olanzapineOFF LABEL 2::Depression
502::Paxil CR 2::Depression
503::risperidoneOFF LABEL 2::Depression
504::Symbyax 2::Depression
505::Asendin 2::Depression
506::desipramine 2::Depression
507::desvenlafaxine 2::Depression
508::Emsam 2::Depression
509::imipramine 2::Depression
510::Irenka 2::Depression
511::Methylin ER 2::Depression
512::methylphenidate 2::Depression
513::Nardil 2::Depression
514::nefazodone 2::Depression
515::Pamelor 2::Depression
516::Parnate 2::Depression
517::Pexeva 2::Depression
518::Prozac Weekly 2::Depression
519::Rapiflux 2::Depression
520::Remeron SolTab 2::Depression
521::Sinequan 2::Depression
522::Abilify Discmelt 2::Depression
523::amitriptyline / chlordiazepoxide 2::Depression
524::amoxapine 2::Depression
525::Anafranil 2::Depression
526::Ambien 2::Insomnia
527::trazodoneOFF LABEL 2::Insomnia
528::zolpidem 2::Insomnia
529::Lunesta 2::Insomnia
530::Ativan 2::Insomnia
531::Dalmane 2::Insomnia
532::Restoril 2::Insomnia
533::Ambien CR 2::Insomnia
534::temazepam 2::Insomnia
535::Zyprexa ZydisOFF LABEL 2::Insomnia
536::Prosom 2::Insomnia
537::amitriptyline 2::Insomnia
538::Halcion 2::Insomnia
539::Rozerem 2::Insomnia
540::Advil PM 2::Insomnia
541::Belsomra 2::Insomnia
542::lorazepam 2::Insomnia
543::clonazepamOFF LABEL 2::Insomnia
544::Silenor 2::Insomnia
545::Sonata 2::Insomnia
546::Intermezzo 2::Insomnia
547::Unisom SleepTabs 2::Insomnia
548::ZyprexaOFF LABEL 2::Insomnia
549::Tylenol PM 2::Insomnia
550::diphenhydramine 2::Insomnia
551::doxepin 2::Insomnia
552::gabapentinOFF LABEL 2::Insomnia
553::eszopiclone 2::Insomnia
554::mirtazapineOFF LABEL 2::Insomnia
555::doxylamine 2::Insomnia
556::flurazepam 2::Insomnia
557::Seconal 2::Insomnia
558::triazolam 2::Insomnia
559::quetiapineOFF LABEL 2::Insomnia
560::diphenhydramine / ibuprofen 2::Insomnia
561::estazolam 2::Insomnia
562::olanzapineOFF LABEL 2::Insomnia
563::Seconal Sodium 2::Insomnia
564::zaleplon 2::Insomnia
565::Doral 2::Insomnia
566::Edluar 2::Insomnia
567::secobarbital 2::Insomnia
568::Zolpimist 2::Insomnia
569::acetaminophen / diphenhydramine 2::Insomnia
570::chloral hydrate 2::Insomnia
571::Compoz Nighttime Sleep Aid 2::Insomnia
572::Nytol 2::Insomnia
573::oxazepamOFF LABEL 2::Insomnia
574::quazepam 2::Insomnia
575::ramelteon 2::Insomnia
576::Simply Sleep 2::Insomnia
577::Sominex 2::Insomnia
578::Unisom SleepGels 2::Insomnia
579::Unisom SleepMelts 2::Insomnia
580::butabarbitalOFF LABEL 2::Insomnia
581::Nytol QuickCaps 2::Insomnia
582::pentobarbitalOFF LABEL 2::Insomnia
583::phenobarbitalOFF LABEL 2::Insomnia
584::Sleepinal 2::Insomnia
585::suvorexant 2::Insomnia
586::Tranquil Nighttime Sleep Aid 2::Insomnia
587::Twilite 2::Insomnia
588::Z-Sleep 2::Insomnia
589::ZzzQuil 2::Insomnia
590::Aceta-Gesic 2::Insomnia
591::Aldex AN 2::Insomnia
592::Aldex AN Chewable 2::Insomnia
593::Aleve PM 2::Insomnia
594::amobarbitalOFF LABEL 2::Insomnia
595::Aquachloral Supprettes 2::Insomnia
596::Care One Sleep Aid 2::Insomnia
597::dimenhydrinateOFF LABEL 2::Insomnia
598::diphenhydramine / magnesium salicylate 2::Insomnia
599::diphenhydramine / naproxen 2::Insomnia
600::Doans PM 2::Insomnia
601::Doxytex 2::Insomnia
602::Equaline Sleep Aid 2::Insomnia
603::Equate Sleep Aid 2::Insomnia
604::Excedrin PM 2::Insomnia
605::Headache Relief PM 2::Insomnia
606::Hetlioz 2::Insomnia
607::Ibuprofen PM 2::Insomnia
608::Legatrin PM 2::Insomnia
609::Mapap PM 2::Insomnia
610::Medi-Sleep 2::Insomnia
611::Midol PM 2::Insomnia
612::Motrin PM 2::Insomnia
613::Night Time Pain 2::Insomnia
614::Nighttime Sleepaid 2::Insomnia
615::Pain Relief PM Extra Strength 2::Insomnia
616::Percogesic Extra Strength 2::Insomnia
617::Sleep Aid 2::Insomnia
618::tasimelteon 2::Insomnia
619::Tylenol Sore Throat Nighttime 2::Insomnia
620::Unisom PM Pain 2::Insomnia
621::Benadryl 3::Cold|Cough
622::diphenhydramine 3::Cold
623::chlorpheniramine 3::Cold
624::Tussionex Pennkinetic 3::Cold
625::Acetaminophen 3::Cold
626::chlorpheniramine 3::Cold
627::phenylephrine 3::Cold
628::Tylenol Cold 3::Cold
629::Banophen 3::Cold
630::Chlor­Trimeton 3::Cold
631::Coricidin HBP Maximum Strength Flu 3::Cold
632::TussiCaps 3::Cold
633::Tylenol Cold MultiSymptom 3::Cold
634::Sudafed PE Sinus & Allergy 3::Cold
635::pseudoephedrine /triprolidine 3::Cold
636::Sudafed PE Cold & Cough 3::Cold
637::Vicks Nyquil D Cold and Flu Nighttime Relief 3::Cold
638::Coricidin HBP Cold & Flu 3::Cold
639::Vicks Dayquil Cold & Flu Relief 3::Cold
640::Promethazine DM 3::Cold
641::carboplatin 3::Cancer
642::Adriamycin 3::Cancer
643::Cytoxan 3::Cancer
644::Adrucil 3::Cancer
645::fluorouracil 3::Cancer
646::cyclophosphamide 3::Cancer
647::doxorubicin 3::Cancer
648::etoposide 3::Cancer
649::Paraplatin 3::Cancer
650::Cosmegen 3::Cancer
651::Ethyol 3::Cancer
652::Cytoxan Lyophilized 3::Cancer
653::Leukeran 3::Cancer
654::Vincasar PFS 3::Cancer
655::Oncovin 3::Cancer
656::Toposar 3::Cancer
657::vincristine 3::Cancer
658::Etopophos 3::Cancer
659::Fludara 3::Cancer
660::Neosar 3::Cancer
661::amifostine 3::Cancer
662::chlorambucil 3::Cancer
663::Hycamtin 3::Cancer
664::Ifex 3::Cancer
665::Mustargen 3::Cancer
666::Aricept 3::Alzheimer
667::Namenda 3::Alzheimer
668::donepezil 3::Alzheimer
669::Exelon 3::Alzheimer
670::Aricept ODT 3::Alzheimer
671::memantine 3::Alzheimer
672::Namenda XR 3::Alzheimer
673::Razadyne ER 3::Alzheimer
674::galantamine 3::Alzheimer
675::Razadyne 3::Alzheimer
676::rivastigmine 3::Alzheimer
677::Alpha E 3::Alzheimer
678::vitamin e 3::Alzheimer
679::Hydergine 3::Alzheimer
680::Namzaric 3::Alzheimer
681::Aqua-E 3::Alzheimer
682::Aqua Gem-E 3::Alzheimer
683::Aquasol E 3::Alzheimer
684::Aquavite-E 3::Alzheimer
685::Nutr-E-Sol 3::Alzheimer
686::donepezil / memantine 3::Alzheimer
687::E-400 Clear 3::Alzheimer
688::E-600 3::Alzheimer
689::E-Gems 3::Alzheimer
690::ergoloid mesylates 3::Alzheimer
691::sumatriptan 3::Migraine
692::Imitrex 3::Migraine
693::Maxalt 3::Migraine
694::Relpax 3::Migraine
695::Amerge 3::Migraine
696::Axert 3::Migraine
697::Butalbital Compound 3::Migraine
698::Treximet 3::Migraine
699::Zomig 3::Migraine
700::Maxalt-MLT 3::Migraine
701::Excedrin Migraine 3::Migraine
702::Cambia 3::Migraine
703::Fiorinal 3::Migraine
704::gabapentinOFF LABEL 3::Migraine
705::Frova 3::Migraine
706::rizatriptan 3::Migraine
707::Reglan 3::Migraine
708::cyclobenzaprineOFF LABEL 3::Migraine
709::Excedrin 3::Migraine
710::aspirin / butalbital / caffeine 3::Migraine
711::naratriptan 3::Migraine
712::NorflexOFF LABEL 3::Migraine
713::Botox 3::Migraine
714::MethergineOFF LABEL 3::Migraine
715::Migranal 3::Migraine
716::Cafergot 3::Migraine
717::diclofenac 3::Migraine
718::Imitrex Statdose 3::Migraine
719::almotriptan 3::Migraine
720::zolmitriptan 3::Migraine
721::metoclopramide 3::Migraine
722::naproxen / sumatriptan 3::Migraine
723::acetaminophen / aspirin / caffeine 3::Migraine
724::eletriptan 3::Migraine
725::Imitrex Nasal 3::Migraine
726::Sumavel DosePro 3::Migraine
727::cyproheptadine 3::Migraine
728::dihydroergotamine 3::Migraine
729::frovatriptan 3::Migraine
730::Migergot 3::Migraine
731::orphenadrineOFF LABEL 3::Migraine
732::Zomig-ZMT 3::Migraine
733::acetaminophen / aspirin / caffeine / salicylamide 3::Migraine
734::Alsuma 3::Migraine
735::caffeine / ergotamine 3::Migraine
736::ergotamine 3::Migraine
737::venlafaxineOFF LABEL 3::Migraine
738::AntiflexOFF LABEL 3::Migraine
739::D.H.E. 45 3::Migraine
740::Farbital 3::Migraine
741::NorflexOFF LABEL 3::Migraine
742::onabotulinumtoxinA 3::Migraine
743::Onzetra Xsail 3::Migraine
744::OrfroOFF LABEL 3::Migraine
745::orphenadrineOFF LABEL 3::Migraine
746::OrphenateOFF LABEL 3::Migraine
747::Painaid 3::Migraine
748::Reglan 3::Migraine
749::Relpax 3::Migraine
750::rizatriptan 3::Migraine
751::sumatriptan 3::Migraine
752::Sumavel DosePro 3::Migraine
753::Treximet 3::Migraine
754::Vanquish 3::Migraine
755::venlafaxineOFF LABEL 3::Migraine
756::Zecuity 3::Migraine
757::Zembrace SymTouch 3::Migraine
758::zolmitriptan 3::Migraine
759::Zomig 3::Migraine
760::Zomig-ZMT 3::Migraine
761::Cymbalta 3::Depression
762::Lexapro 3::Depression
763::Zoloft 3::Depression
764::Celexa 3::Depression
765::Prozac 3::Depression
766::Wellbutrin XL 3::Depression
767::citalopram 3::Depression
768::Abilify 3::Depression
769::bupropion 3::Depression
770::Xanax 3::Depression
771::Effexor XR 3::Depression
772::sertraline 3::Depression
773::Wellbutrin 3::Depression
774::fluoxetine 3::Depression
775::Pristiq 3::Depression
776::Effexor 3::Depression
777::Paxil 3::Depression
778::venlafaxine 3::Depression
779::Wellbutrin SR 3::Depression
780::trazodone 3::Depression
781::Remeron 3::Depression
782::Viibryd 3::Depression
783::escitalopram 3::Depression
784::mirtazapine 3::Depression
785::paroxetine 3::Depression
786::Seroquel XR 3::Depression
787::amitriptyline 3::Depression
788::alprazolam 3::Depression
789::Deplin 3::Depression
790::ZyprexaOFF LABEL 3::Depression
791::duloxetine 3::Depression
792::nortriptyline 3::Depression
793::tramadolOFF LABEL 3::Depression
794::Fetzima 3::Depression
795::lamotrigineOFF LABEL 3::Depression
796::Alprazolam Intensol 3::Depression
797::aripiprazole 3::Depression
798::Budeprion SR 3::Depression
799::Budeprion XL 3::Depression
800::Desyrel 3::Depression
801::Niravam 3::Depression
802::Oleptro 3::Depression
803::quetiapine 3::Depression
804::Serzone 3::Depression
805::Xanax XR 3::Depression
